preferential	jaccard	adamic adar	resource allocation	label
58158.0	0.13260869565217392	472.56196343603676	14701.0	1.0
9918.0	0.010050251256281407	16.354318263753886	732.0	0.0
10058.0	0.04145077720207254	53.649231050702994	1032.0	1.0
10728.0	0.0	0.0	0.0	0.0
214.0	0.0	0.0	0.0	0.0
15552.0	0.04727272727272727	88.2047789145368	1868.0	1.0
5301.0	0.006711409395973154	8.971543553950774	502.0	0.0
328.0	0.0	0.0	0.0	0.0
18145.0	0.01060070671378092	26.651418431361947	1489.0	0.0
5.0	0.0	0.0	0.0	0.0
24064.0	0.09342560553633218	201.09402404322327	5106.0	1.0
12204.0	0.05660377358490566	103.53846452600528	2088.0	1.0
10804.0	0.05238095238095238	87.65012420186156	2989.0	1.0
10540.0	0.06698564593301436	99.42441265605228	2120.0	1.0
3034.0	0.00847457627118644	6.741466986401148	107.0	1.0
5307.0	0.0136986301369863	13.511999669441453	257.0	1.0
24822.0	0.1962962962962963	388.72069197251284	10078.0	1.0
9424.0	0.010101010101010102	13.535275376620802	218.0	0.0
10296.0	0.004524886877828055	7.531381460516312	185.0	0.0
1196.0	0.0	0.0	0.0	0.0
744.0	0.0	0.0	0.0	0.0
5.0	0.0	0.0	0.0	0.0
65278.0	0.10129310344827586	349.87298900991095	10164.0	1.0
13774.0	0.0037878787878787884	7.055282435501191	133.0	0.0
31652.0	0.037694013303769404	121.44845565447467	2988.0	1.0
2184.0	0.010752688172043013	7.257387842692652	153.0	0.0
1890.0	0.00909090909090909	6.754887502163467	108.0	0.0
1380.0	0.009433962264150943	5.1292830169449655	35.0	1.0
4400.0	0.0	0.0	0.0	0.0
2444.0	0.2692307692307692	146.42363475050468	2780.0	1.0
20076.0	0.07308970099667775	151.5938627062103	3506.0	1.0
150939.0	0.15168539325842698	808.5263248576468	22678.0	1.0
19630.0	0.05243445692883896	106.03243425762794	2827.0	1.0
2520.0	0.0	0.0	0.0	0.0
27634.0	0.02696078431372549	75.80904753545389	1814.0	1.0
77100.0	0.09001956947162426	330.9332249573992	8419.0	1.0
14763.0	0.0	0.0	0.0	0.0
19380.0	0.034602076124567484	77.29261714688495	2620.0	1.0
2415.0	0.13043478260869565	71.26189529020337	857.0	1.0
8576.0	0.14705882352941174	174.33507260578392	3491.0	1.0
570.0	0.0	0.0	0.0	0.0
10472.0	0.0	0.0	0.0	0.0
3472.0	0.1346153846153846	89.25256212302793	1276.0	0.0
10300.0	0.0	0.0	0.0	0.0
1710.0	0.0	0.0	0.0	0.0
30.0	0.0	0.0	0.0	0.0
6216.0	0.006369426751592357	8.204571144249204	295.0	0.0
29072.0	0.027027027027027032	66.7930583916299	1588.0	0.0
56745.0	0.0444104134762634	224.00681703883438	7701.0	1.0
360.0	0.0	0.0	0.0	0.0
96348.0	0.02192066805845512	163.92973401355948	5897.0	1.0
27720.0	0.1916376306620209	414.7483454577513	11165.0	1.0
34440.0	0.0026809651474530827	8.194756854422247	293.0	0.0
5187.0	0.003436426116838488	6.209453365628951	74.0	0.0
50.0	0.0	0.0	0.0	0.0
27520.0	0.0030211480362537764	7.392317422778762	168.0	0.0
9265.0	0.021052631578947368	28.230479774201175	555.0	0.0
5301.0	0.006711409395973154	7.721099188707185	211.0	0.0
960.0	0.0	0.0	0.0	0.0
31955.0	0.006329113924050633	33.80974174565985	1458.0	1.0
23975.0	0.09859154929577464	208.04820374142398	5642.0	1.0
13064.0	0.035398230088495575	60.601552271198514	1621.0	0.0
7462.0	0.15333333333333332	153.2786920415994	2510.0	1.0
2275.0	0.016216216216216217	22.24604468654058	530.0	1.0
44336.0	0.15384615384615385	407.6224469835615	8892.0	1.0
78000.0	0.17894736842105266	614.5507215407787	14700.0	1.0
416.0	0.0	0.0	0.0	0.0
3256.0	0.050420168067226885	42.587563704517	947.0	1.0
1476.0	0.0	0.0	0.0	0.0
9590.0	0.0	0.0	0.0	0.0
372.0	0.0	0.0	0.0	0.0
12441.0	0.07476635514018691	119.43419531158857	3204.0	1.0
9009.0	0.010416666666666666	13.86534664481678	255.0	0.0
2401.0	0.010309278350515464	6.426264754702097	86.0	0.0
6909.0	0.09604519774011301	119.03312410847957	2550.0	1.0
225.0	0.1724137931034483	31.595266097676287	444.0	1.0
1260.0	0.05797101449275361	29.647222325136475	749.0	0.0
22351.0	0.028938906752411574	72.58822791136129	2668.0	0.0
6104.0	0.012345679012345678	21.982374968004137	513.0	1.0
763.0	0.0	0.0	0.0	0.0
1683.0	0.12	56.61246020228235	1037.0	1.0
10.0	0.0	0.0	0.0	0.0
16491.0	0.15789473684210525	306.45061256891324	7382.0	1.0
6027.0	0.011764705882352941	19.421210147409056	2756.0	0.0
7605.0	0.0963855421686747	124.43094058797553	5839.0	1.0
4340.0	0.0	0.0	0.0	0.0
1086.0	0.0	0.0	0.0	0.0
6216.0	0.2014388489208633	200.2599182110041	4253.0	1.0
254.0	0.0	0.0	0.0	0.0
21156.0	0.10666666666666667	235.09117981424825	5554.0	1.0
41392.0	0.12430939226519334	357.2839178166218	11695.0	1.0
7696.0	0.02298850574712644	33.02622334544571	1354.0	0.0
