is_dorm	is_year	year_diff	from_high_school	to_high_school	from_major	to_major	is_faculty	is_gender	label
0.0	1.0	0.0	7676.0	9264.0	53.0	106.0	0.0	1.0	1.0
0.0	0.0	1.8036252259489631	0.0	17107.0	0.0	0.0	1.0	1.0	0.0
0.0	0.0	1.0	20895.0	50095.0	246.0	269.0	1.0	0.0	1.0
0.0	0.0	1.0	0.0	53129.0	1.0	6.0	0.0	0.0	0.0
0.0	0.0	1.0	0.0	16281.0	135.0	160.0	1.0	0.0	0.0
0.0	1.0	0.0	0.0	21242.0	14.0	34.0	1.0	1.0	1.0
0.0	0.0	0.4043532621051327	0.0	8826.0	0.0	6.0	0.0	1.0	0.0
0.0	1.0	0.0	0.0	0.0	0.0	152.0	0.0	0.0	0.0
0.0	0.0	2.0	1317.0	50975.0	17.0	23.0	0.0	1.0	0.0
0.0	0.0	2.4013259064347494	0.0	50036.0	0.0	85.0	1.0	0.0	0.0
0.0	1.0	0.0	1506.0	9477.0	39.0	41.0	1.0	0.0	1.0
0.0	0.0	0.2023733162284316	50786.0	51160.0	97.0	125.0	1.0	1.0	1.0
0.0	0.0	1.0	16418.0	17097.0	135.0	160.0	1.0	1.0	1.0
0.0	1.0	0.0	52007.0	52665.0	0.0	243.0	1.0	0.0	1.0
0.0	0.0	1.0	9557.0	53171.0	244.0	290.0	1.0	0.0	1.0
0.0	1.0	0.0	0.0	9802.0	9.0	18.0	1.0	0.0	1.0
0.0	0.0	1.196374774051037	0.0	50864.0	0.0	49.0	0.0	0.0	1.0
0.0	0.0	2.0	5979.0	50459.0	29.0	47.0	1.0	1.0	0.0
0.0	0.0	5.0	0.0	8535.0	6.0	14.0	0.0	0.0	0.0
0.0	0.0	2.0	1347.0	23918.0	7.0	7.0	0.0	1.0	0.0
0.0	0.0	2.0	50025.0	50152.0	54.0	85.0	0.0	0.0	0.0
0.0	0.0	0.1963747740510371	0.0	2207.0	0.0	113.0	0.0	0.0	0.0
0.0	0.0	1.0	0.0	50481.0	7.0	17.0	0.0	0.0	1.0
0.0	0.0	1.0	5051.0	53622.0	45.0	54.0	1.0	0.0	0.0
0.0	1.0	0.0	20895.0	21411.0	133.0	165.0	1.0	0.0	1.0
0.0	0.0	1.0	1942.0	5664.0	120.0	214.0	1.0	0.0	0.0
0.0	0.0	4.0	694.0	9722.0	0.0	116.0	0.0	0.0	0.0
0.0	1.0	0.0	1697.0	17060.0	0.0	58.0	1.0	0.0	1.0
0.0	0.0	1.0	25737.0	50564.0	17.0	22.0	1.0	1.0	0.0
0.0	0.0	1.0	0.0	56268.0	152.0	152.0	0.0	1.0	1.0
0.0	1.0	0.0	17062.0	50028.0	248.0	249.0	1.0	0.0	1.0
0.0	0.0	1.0	1350.0	50488.0	51.0	61.0	1.0	0.0	1.0
0.0	1.0	0.0	50165.0	50593.0	7.0	38.0	1.0	1.0	1.0
0.0	0.0	2.0	9105.0	50582.0	49.0	104.0	1.0	0.0	0.0
1.0	0.0	2.0	25309.0	50745.0	262.0	265.0	1.0	0.0	1.0
1.0	1.0	0.0	21146.0	51973.0	271.0	278.0	1.0	1.0	1.0
0.0	0.0	1.0	8885.0	9159.0	265.0	294.0	1.0	0.0	0.0
0.0	0.0	2.0	16077.0	53092.0	155.0	155.0	1.0	1.0	1.0
0.0	0.0	0.7976266837715684	24013.0	50344.0	97.0	145.0	1.0	0.0	1.0
0.0	1.0	0.0	4696.0	17763.0	0.0	97.0	1.0	1.0	1.0
0.0	0.0	0.4013259064347494	0.0	17192.0	0.0	85.0	0.0	0.0	0.0
0.0	0.0	4.0	3734.0	9077.0	66.0	99.0	0.0	0.0	0.0
1.0	1.0	0.0	25251.0	50468.0	261.0	277.0	1.0	1.0	0.0
